"gam","ee_L_a_Horowitz and Manski","ee_L_a_Lee","ee_L_a_Chen and Flores","ee_U_a_Horowitz and Manski","ee_U_a_Lee","ee_U_a_Chen and Flores","ee_L_b_Horowitz and Manski","ee_L_b_Lee","ee_L_b_Chen and Flores","ee_U_b_Horowitz and Manski","ee_U_b_Lee","ee_U_b_Chen and Flores"
0.16,4.78391081530737,6.69721958927396,6.69721958927396,8.58149657140535,6.69721958927396,6.69721958927396,5.3254578371015,6.44222169911331,6.95943297721781,9.52319648859174,7.2544146007057,7.2544146007057
0.17,4.75208975552201,6.63569634671365,6.63569634671365,8.47191149308949,6.63569634671365,6.63569634671365,5.28711462814463,6.38787372767661,6.89084632605144,9.39889524017348,7.18049520443301,7.18049520443301
0.18,4.72134210967017,6.57579821969182,6.57579821969182,8.36508673777221,6.57579821969182,6.57579821969182,5.25006867952873,6.33495059208194,6.82411590138425,9.27775591133992,7.1085363457585,7.1085363457585
0.19,4.69166665905926,6.51751425497041,6.51751425497041,8.26098292962641,6.51751425497041,6.51751425497041,5.21431330904044,6.28344694405606,6.75922163165431,9.15972964211301,7.03851579235671,7.03851579235671
0.2,4.66306308238408,6.46083463436104,6.46083463436104,8.1595624798832,6.46083463436104,6.46083463436104,5.17984305611471,6.23335841184432,6.69614499279959,9.04476977757877,6.97041290704544,6.97041290704544
0.21,4.63553198898163,6.40575070504191,6.40575070504191,8.06078959887404,6.40575070504191,6.40575070504191,5.14665370574782,6.18468163508041,6.63486901831675,8.93283186835242,6.90420865671609,6.90420865671609
0.22,4.60907495525144,6.35225501327989,6.35225501327989,7.96463031175286,6.35225501327989,6.35225501327989,5.11474231647934,6.13741430292804,6.57537831376608,8.82387367568115,6.83988562573933,6.83988562573933
0.23,4.58369456451258,6.30034134183815,6.30034134183815,7.87105247815663,6.30034134183815,6.30034134183815,5.08410725270452,6.09155519577887,6.51765907594824,8.71785518143199,6.77742803407107,6.77742803407107
0.24,4.55939445059775,6.25000475138013,6.25000475138013,7.78002581609243,6.25000475138013,6.25000475138013,5.054748221612,6.0471042308214,6.46169911701167,8.61473860324593,6.71682176031644,6.71682176031644
0.25,4.53617934551728,6.20124162621464,6.20124162621464,7.69152193037182,6.20124162621464,6.20124162621464,5.02666631507848,6.00406251182928,6.40748789378614,8.51448841517677,6.658054370047,6.658054370047
0.26,4.51405513156212,6.15404972476483,6.15404972476483,7.60551434594999,6.15404972476483,6.15404972476483,4.9998640568935,5.96243238355546,6.35501654267892,8.4170713741749,6.60111514970628,6.60111514970628
0.27,4.49302889825623,6.10842823518663,6.10842823518663,7.52197854656851,6.10842823518663,6.10842823518663,4.97434545573306,5.92221749116133,6.30427792051494,8.32245655282193,6.54599514648475,6.54599514648475
0.28,4.47310900461429,6.06437783661028,6.06437783661028,7.44089201914658,6.06437783661028,6.06437783661028,4.95011606435255,5.88342284515777,6.25526665175296,8.23061537877462,6.49268721459533,6.49268721459533
0.29,4.45430514721293,6.02190076653273,6.02190076653273,7.36223430441797,6.02190076653273,6.02190076653273,4.92718304552692,5.84605489238936,6.20797918256603,8.14152168143371,6.44118606843699,6.44118606843699
0.3,4.43662843464184,5.98100089494964,5.98100089494964,7.28598705436959,5.98100089494964,5.98100089494964,4.90555524533091,5.81012159365352,6.16241384233769,8.05515174641898,6.39148834319733,6.39148834319733
0.31,4.42009146896744,5.94168380588491,5.94168380588491,7.2121340971039,5.94168380588491,5.94168380588491,4.88524327442521,5.77563250861581,6.11857091319641,7.97148437850482,6.34359266351587,6.34359266351587
0.32,4.40470843491646,5.90395688705377,5.90395688705377,7.14066150982239,5.90395688705377,5.90395688705377,4.86625959809674,5.7425988887602,6.07645270829065,7.89050097375348,6.29749972090997,6.29749972090997
0.33,4.3904951975718,5.86782942848374,5.86782942848374,7.07155770071288,5.86782942848374,5.86782942848374,4.84861863589465,5.71103377920181,6.03606365959761,7.81218560167672,6.25321236075559,6.25321236075559
0.34,4.37746940946938,5.83331273101899,5.83331273101899,7.00481350061949,5.83331273101899,5.83331273101899,4.83233687180949,5.6809521302902,5.99741041616054,7.73652509836255,6.21073567971749,6.21073567971749
0.35,4.36565062809448,5.80042022574765,5.80042022574765,6.94042226548465,5.80042022574765,5.80042022574765,4.81743297606298,5.65237092004584,5.96050195376635,7.66350917162439,6.17007713463968,6.17007713463968
0.36,4.35506044490135,5.76916760552271,5.76916760552271,6.87837999067768,5.76916760552271,5.76916760552271,4.80392793971298,5.62530928860267,5.92534969720674,7.59313051936707,6.13124666403908,6.13124666403908
0.37,4.3457226271229,5.73957296989608,5.73957296989608,6.81868543846786,5.73957296989608,5.73957296989608,4.79184522343465,5.59978868597935,5.89196765641735,7.52538496252064,6.09425682349625,6.09425682349625
0.38,4.33766327380101,5.7116569849568,5.7116569849568,6.76134028006404,5.7116569849568,5.7116569849568,4.78121092201718,5.57583303467225,5.8603725779614,7.46027159407221,6.05912293640903,6.05912293640903
0.39,4.33091098765631,5.68544305976008,5.68544305976008,6.70634925383082,5.68544305976008,5.68544305976008,4.772053946321,5.55346890875966,5.83058411352189,7.39779294593095,6.02586326177292,6.02586326177292
0.4,4.32549706463206,5.66095754125974,5.66095754125974,6.65372034150809,5.66095754125974,5.66095754125974,4.76440622467574,5.53272573143194,5.8026250072933,7.33795517559762,5.99449918087829,5.99449918087829
0.41,4.32145570319627,5.63822992991654,5.63822992991654,6.60346496450972,5.63822992991654,5.63822992991654,4.75830292597049,5.51363599312241,5.77652130442457,7.28076827488123,5.9650554050761,5.9650554050761
0.42,4.31882423577386,5.61729311845508,5.61729311845508,6.55559820266547,5.61729311845508,5.61729311845508,4.75378270700149,5.49623549271394,5.75230258296678,7.22624630321943,5.93756020706477,5.93756020706477
0.43,4.3176433850138,5.59818365658965,5.59818365658965,6.51013903810346,5.59818365658965,5.59818365658965,4.7508879870049,5.48056360464377,5.73000221212747,7.17440764852149,5.91204567849999,5.91204567849999
0.44,4.3179575479832,5.58094204494314,5.58094204494314,6.4671106273576,5.58094204494314,5.58094204494314,4.74966525272314,5.46666357513259,5.70965764003833,7.12527531887445,5.88854801713347,5.88854801713347
0.45,4.31981511183022,5.56561306185229,5.56561306185229,6.42654060523463,5.56561306185229,5.56561306185229,4.75016539784272,5.45458285123352,5.69131071471296,7.07887726894217,5.86710784715714,5.86710784715714
0.46,4.32326880498275,5.55224612730083,5.55224612730083,6.38846142450056,5.55224612730083,5.55224612730083,4.75244410121273,5.44437344694409,5.67500804242066,7.03524676545852,5.84777057697827,5.84777057697827
0.47,4.3283760885641,5.54089570886247,5.54089570886247,6.35291073606101,5.54089570886247,5.54089570886247,4.7565622489205,5.4360923512654,5.66080138834338,6.99442279688378,5.83058679929221,5.83058679929221
0.48,4.33519959342745,5.53162177528755,5.53162177528755,6.31993181503015,5.53162177528755,5.53162177528755,4.76258640608472,5.429801983844,5.64874812513574,6.95645053307688,5.81561273907231,5.81561273907231
0.49,4.34380760905843,5.52449030425163,5.52449030425163,6.28957403893127,5.52449030425163,5.52449030425163,4.77058934514734,5.42557070471649,5.63891173589278,6.92138184175757,5.80291075598139,5.80291075598139
0.5,4.35427463159548,5.5195738518274,5.5195738518274,6.26189342527216,5.5195738518274,5.5195738518274,4.78065063853271,5.42347338572013,5.63136237907466,6.88927586961996,5.79254990875343,5.79254990875343
0.51,4.36668197940161,5.51695219247692,5.51695219247692,6.2369532369225,5.51695219247692,5.51695219247692,4.79285732482916,5.42359205236797,5.62617752417303,6.86019969724566,5.78460659032999,5.78460659032999
0.52,4.38111848602699,5.51671303982745,5.51671303982745,6.21482466512684,5.51671303982745,5.51671303982745,4.80730465917607,5.42601660645345,5.62344266837117,6.83422907849269,5.7791652440032,5.7791652440032
0.53,4.39768128207705,5.51895286024193,5.51895286024193,6.19558760166163,5.51895286024193,5.51895286024193,4.82409696035949,5.43084564139729,5.62325214619832,6.81144927685686,5.77631917256512,5.77631917256512
0.54,4.41647667950366,5.52377779328461,5.52377779328461,6.17933151364819,5.52377779328461,5.52377779328461,4.84334856929591,5.43818736443838,5.62571004626839,6.79195601347867,5.77617145455364,5.77617145455364
0.55,4.43762117424017,5.53130469568953,5.53130469568953,6.16615643693683,5.53130469568953,5.53130469568953,4.86518493619519,5.44816064227813,5.63093125170114,6.77585654408038,5.77883598419257,5.77883598419257
0.56,4.46124258599644,5.54166232845964,5.54166232845964,6.15617410687244,5.54166232845964,5.54166232845964,4.88974385683893,5.4608961898074,5.63904262384477,6.76327088526366,5.78443865464449,5.78443865464449
0.57,4.48748135753071,5.55499271037696,5.55499271037696,6.14950924875329,5.55499271037696,5.55499271037696,4.91717688221475,5.47653792519785,5.65018435257121,6.75433321440209,5.79311870784751,5.79311870784751
0.58,4.51649203996643,5.57145266563855,5.57145266563855,6.1463010545457,5.57145266563855,5.57145266563855,4.94765093036546,5.4952445190738,5.66451150085117,6.74919347198178,5.80503027864259,5.80503027864259
0.59,4.54844499590638,5.59121559874186,5.59121559874186,6.14670487760199,5.59121559874186,5.59121559874186,4.98135013494475,5.51719117088957,5.68219577672435,6.74801920087612,5.82034416630666,5.82034416630666
0.6,4.5835283584475,5.61447353636797,5.61447353636797,6.15089418347979,5.61447353636797,5.61447353636797,5.01847797187098,5.54257165226197,5.70342757240633,6.75099766394062,5.83924987323253,5.83924987323253
0.61,4.62195029201578,5.64143948416558,5.64143948416558,6.15906280277756,5.64143948416558,5.64143948416558,5.05925971396266,5.57160066516213,5.7284183184276,6.758338289806,5.86195795865125,5.86195795865125
0.62,4.66394161060846,5.67235015642358,5.67235015642358,6.17142754156859,5.67235015642358,5.67235015642358,5.10394527394238,5.60451657295578,5.75740321078644,6.77027550725122,5.88870276537788,5.88870276537788
0.63,4.70975882104988,5.70746914915905,5.70746914915905,6.18823121703517,5.70746914915905,5.70746914915905,5.15281250925409,5.64158457481974,5.79064438163577,6.78707204159595,5.91974559010084,5.91974559010084
0.64,4.75968767389123,5.74709064282017,5.74709064282017,6.20974620092871,5.74709064282017,5.74709064282017,5.20617107846099,5.6831004097356,5.82843459969782,6.80902276287499,5.95537838340838,5.95537838340838
0.65,4.81404732347153,5.79154374050714,5.79154374050714,6.23627857236877,5.79154374050714,5.79154374050714,5.26436695951097,5.7293946959644,5.87110160630384,6.83645919607643,5.99592808544919,5.99592808544919
0.66,4.87319522254425,5.84119757253299,5.84119757253299,6.26817300538097,5.84119757253299,5.84119757253299,5.32778776610751,5.78083803682562,5.91901321787572,6.86975482967703,6.04176172804361,6.04176172804361
0.67,4.9375329072751,5.8964673298612,5.8964673298612,6.30581854697517,5.8964673298612,5.8964673298612,5.39686903145294,5.83784705531817,5.9725833573809,6.90933139173674,6.0932924657769,6.0932924657769
0.68,5.00751286736812,5.95782142959169,5.95782142959169,6.34965548051706,5.95782142959169,5.95782142959169,5.47210167094865,5.90089156075612,6.03227921792781,6.95566630513253,6.15098673924137,6.15098673924137
0.69,5.08364674633788,6.02579006809883,6.02579006809883,6.4001835194067,6.02579006809883,6.02579006809883,5.55404089004058,5.97050310302364,6.09862981410055,7.0093015881157,6.21537282602586,6.21537282602586
0.7,5.16651518228333,6.10097548558651,6.10097548558651,6.45797164141598,6.10097548558651,6.10097548558651,5.64331687438348,6.0472852382153,6.17223624479371,7.07085453736127,6.28705110321353,6.28705110321353
0.71,5.25677968513517,6.18406435514033,6.18406435514033,6.52366995965271,6.18406435514033,6.18406435514033,5.74064769251125,6.13192591874264,6.25378408062338,7.14103062369322,6.36670643446338,6.36670643446338
0.72,5.35519705948309,6.27584282738072,6.27584282738072,6.5980241392544,6.27584282738072,6.27584282738072,5.84685496411336,6.22521253901162,6.3440584070139,7.22063915358097,6.4551232127753,6.4551232127753
0.73,5.46263703293647,6.37721491918492,6.37721491918492,6.68189301976125,6.37721491918492,6.37721491918492,5.96288301089936,6.32805032513994,6.44396221142504,7.31061241338535,6.5532037474029,6.5532037474029
0.74,5.58010395303467,6.48922514678312,6.48922514678312,6.77627030618123,6.48922514678312,6.48922514678312,6.08982242764479,6.44148496902017,6.55453901502113,7.41202923394341,6.66199089521542,6.66199089521542
0.75,5.70876369188864,6.61308659163203,6.61308659163203,6.8823114679255,6.61308659163203,6.61308659163203,6.22893931104276,6.56673069513296,6.67700093718214,7.52614421311245,6.78269612490875,6.78269612490875
0.76,5.84997727746335,6.75021598360427,6.75021598360427,7.00136736452026,6.75021598360427,6.75021598360427,6.38171179652785,6.70520534464933,6.81276377739192,7.65442424643646,6.91673459860042,6.91673459860042
0.77,6.00534329872688,6.90227793717627,6.90227793717627,7.13502664531757,6.90227793717627,6.90227793717627,6.54987612721149,6.85857461250568,6.96349125018348,7.79859459007014,7.06576940648835,7.06576940648835
0.78,6.17675187633849,7.07124125291007,7.07124125291007,7.28516971487429,7.07124125291007,7.07124125291007,6.73548528784653,7.02880834974749,7.13115128543353,7.96069748887496,7.23176786686541,7.23176786686541
0.79,6.36645405404213,7.25945130597044,7.25945130597044,7.45403811916254,7.25945130597044,7.25945130597044,6.94098439213735,7.21825295288401,7.31808841574538,8.14316755800002,7.41707391322865,7.41707391322865
0.8,6.57715200799923,7.46972415211663,7.46972415211663,7.64432474984237,7.46972415211663,7.46972415211663,7.16930868703942,7.42972547069375,7.52711788135661,8.34892978158836,7.62450219891965,7.62450219891965
0.81,6.81211774381418,7.70547035231919,7.70547035231919,7.85929253634711,7.70547035231919,7.70547035231919,7.42401250659602,7.6666374296322,7.76164945371978,8.58152846115301,7.85746192044382,7.85746192044382
0.82,7.07535135978557,7.97086007322049,7.97086007322049,8.1029327043117,7.97086007322049,7.97086007322049,7.70944121121561,7.93315993506067,8.02585253497233,8.84529914952318,8.120121916685,8.120121916685
0.83,7.37179516834431,8.27104645934897,8.27104645934897,8.38017889230204,8.27104645934897,8.27104645934897,8.03096381224882,8.23444704420735,8.32487952920367,9.14560127021642,8.41763403992285,8.41763403992285
0.84,7.70762811362028,8.61247277095305,8.61247277095305,8.69720156478451,8.61247277095305,8.61247277095305,8.39529283165504,8.5769429047268,8.66517297938315,9.48913797202362,8.7564402925169,8.7564402925169
0.85,8.09067795664859,9.00330237804978,9.00330237804978,9.06182019284391,9.00330237804978,9.00330237804978,8.8109321064374,8.96881174945368,9.05489556054207,9.88440392848271,9.14470281985009,9.14470281985009
0.86,8.53101011201933,9.45403303876698,9.45403303876698,9.4840920864511,9.45403303876698,9.45403303876698,9.28881651019988,9.4205521754302,9.50454435728677,10.342325054592,9.59291818760872,9.59291818760872
0.87,9.04178825596153,9.97839469195302,9.97839469195302,9.97717299826847,9.97839469195302,9.97839469195302,9.84324693178394,9.94589493718176,10.0278486556149,10.8771934807173,10.1148151733709,10.1148151733709
0.88,9.64056523918026,10.5946961473455,10.5946961473455,10.5586080323098,10.5946961473455,10.5946961473455,10.4932927442481,10.5631496375327,10.6431166323244,11.5080700169546,10.7287014557931,10.7287014557931
0.89,10.3512781347252,11.3279063353478,11.3279063353478,11.2523266877303,11.3279063353478,11.3279063353478,11.2649592580106,11.2972859780119,11.3753166040636,12.2609516017635,11.4595448634416,11.4595448634416
0.9,11.2074403153919,12.2129843081035,12.2129843081035,12.0918349322456,12.2129843081035,12.2129843081035,12.1946556470322,12.183263760538,12.2594070277083,13.1722392237493,12.342303374958,12.342303374958
